Symbol	Name	PharmGKB Accession Id	NCBI Gene ID	HGNC ID	Ensembl Id	Chromosome	Chromosomal Start - GRCh37	Chromosomal Stop - GRCh37	Chromosomal Start - GRCh38	Chromosomal Stop - GRCh38
AARS	alanyl-tRNA synthetase	PA24367	16	HGNC:20	ENSG00000090861	chr16	70286198	70323452	70252295	70289552
AARS2	alanyl-tRNA synthetase 2, mitochondrial	PA162375129	57505	HGNC:21022	ENSG00000124608	chr6	44266463	44281094	44297850	44313358
AARSD1	alanyl-tRNA synthetase domain containing 1	PA142670464	80755	HGNC:28417	ENSG00000266967	chr17	41102543	41116515	42950526	42964498
AASDH	aminoadipate-semialdehyde dehydrogenase	PA162375178	132949	HGNC:23993	ENSG00000157426	chr4	57204450	57254265	56337687	56387677
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	PA24368	60496	HGNC:14235	ENSG00000149313	chr11	105948292	105969419	106077565	106098692
AASS	aminoadipate-semialdehyde synthase	PA24369	10157	HGNC:17366	ENSG00000008311	chr7	121713598	121784344	122073544	122144290
AATF	apoptosis antagonizing transcription factor	PA128395780	26574	HGNC:19235	ENSG00000108270	chr17	35306175	35414171	36948875	37056871
AATK	apoptosis associated tyrosine kinase	PA24370	9625	HGNC:21	ENSG00000181409	chr17	79084285	79139877	81117295	81166072
AAVS1	adeno-associated virus integration site 1	PA24371	17	HGNC:22		chr19				
ABAT	4-aminobutyrate aminotransferase	PA24372	18	HGNC:23	ENSG00000183044	chr16	8768444	8878432	8674587	8784575
ABCA1	ATP binding cassette subfamily A member 1	PA24373	19	HGNC:29	ENSG00000165029	chr9	107543283	107690527	104781002	104928246
ABCA10	ATP binding cassette subfamily A member 10	PA24374	10349	HGNC:30	ENSG00000154263	chr17	67144148	67240956	69148007	69244815
ABCA11P	ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene	PA24375	79963	HGNC:31		chr4	419224	467998	425435	474209
ABCA12	ATP binding cassette subfamily A member 12	PA29604	26154	HGNC:14637	ENSG00000144452	chr2	215796266	216003151	214931542	215138591
ABCA13	ATP binding cassette subfamily A member 13	PA134925234	154664	HGNC:14638	ENSG00000179869	chr7	48211057	48687091	48171424	48647497
ABCA2	ATP binding cassette subfamily A member 2	PA24377	20	HGNC:32	ENSG00000107331	chr9	139901686	139923374	137007234	137028922
ABCA3	ATP binding cassette subfamily A member 3	PA24378	21	HGNC:33	ENSG00000167972	chr16	2325879	2390747	2275878	2340746
ABCA4	ATP binding cassette subfamily A member 4	PA24379	24	HGNC:34	ENSG00000198691	chr1	94458393	94586705	93992837	94121149
ABCA5	ATP binding cassette subfamily A member 5	PA24380	23461	HGNC:35	ENSG00000154265	chr17	67240576	67323323	69244435	69327182
ABCA6	ATP binding cassette subfamily A member 6	PA24381	23460	HGNC:36	ENSG00000154262	chr17	67074847	67138015	69062044	69142188
ABCA7	ATP binding cassette subfamily A member 7	PA24382	10347	HGNC:37	ENSG00000064687	chr19	1040102	1065571	1040103	1065572
ABCA8	ATP binding cassette subfamily A member 8	PA24383	10351	HGNC:38	ENSG00000141338	chr17	66863428	66951550	68867285	68955426
ABCA9	ATP binding cassette subfamily A member 9	PA24384	10350	HGNC:39	ENSG00000154258	chr17	66970773	67058442	68974632	69078978
ABCB1	ATP binding cassette subfamily B member 1	PA267	5243	HGNC:40	ENSG00000085563	chr7	87133179	87342639	87503863	87713323
ABCB10	ATP binding cassette subfamily B member 10	PA24385	23456	HGNC:41	ENSG00000135776	chr1	229652329	229694442	229516582	229558987
ABCB10P1	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1	PA24386	56476	HGNC:14114		chr15	22689409	22693186	23179882	23183659
ABCB11	ATP binding cassette subfamily B member 11	PA374	8647	HGNC:42	ENSG00000073734	chr2	169779336	169887833	168915468	169031396
ABCB4	ATP binding cassette subfamily B member 4	PA268	5244	HGNC:45	ENSG00000005471	chr7	87031361	87105019	87399461	87475864
ABCB5	ATP binding cassette subfamily B member 5	PA24387	340273	HGNC:46	ENSG00000004846	chr7	20655245	20796637	20615622	20757014
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	PA24388	10058	HGNC:47	ENSG00000115657	chr2	220074488	220083712	219209766	219218990
ABCB7	ATP binding cassette subfamily B member 7	PA24389	22	HGNC:48	ENSG00000131269	chrX	74273007	74376175	75053172	75156340
ABCB8	ATP binding cassette subfamily B member 8	PA24390	11194	HGNC:49	ENSG00000197150	chr7	150725510	150744869	151028422	151047782
ABCB9	ATP binding cassette subfamily B member 9	PA24391	23457	HGNC:50	ENSG00000150967	chr12	123405498	123451056	122918708	122975160
ABCC1	ATP binding cassette subfamily C member 1	PA244	4363	HGNC:51	ENSG00000103222	chr16	16043434	16236931	15949577	16143074
ABCC10	ATP binding cassette subfamily C member 10	PA24392	89845	HGNC:52	ENSG00000124574	chr6	43395282	43418163	43427538	43451994
ABCC11	ATP binding cassette subfamily C member 11	PA24393	85320	HGNC:14639	ENSG00000121270	chr16	48200782	48281479	48164842	48249973
ABCC12	ATP binding cassette subfamily C member 12	PA24394	94160	HGNC:14640	ENSG00000140798	chr16	48116884	48180681	48082973	48146770
ABCC13	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene	PA134875904	150000	HGNC:16022		chr21	15646120	15673707	14273799	14301386
ABCC2	ATP binding cassette subfamily C member 2	PA116	1244	HGNC:53	ENSG00000023839	chr10	101542457	101611662	99782598	99853741
ABCC3	ATP binding cassette subfamily C member 3	PA376	8714	HGNC:54	ENSG00000108846	chr17	48712205	48769063	50634843	50691704
ABCC4	ATP binding cassette subfamily C member 4	PA397	10257	HGNC:55	ENSG00000125257	chr13	95672083	95953705	95019829	95301550
ABCC5	ATP binding cassette subfamily C member 5	PA395	10057	HGNC:56	ENSG00000114770	chr3	183637722	183735803	183919934	184018010
ABCC6	ATP binding cassette subfamily C member 6	PA58	368	HGNC:57	ENSG00000091262	chr16	16243422	16318083	16149565	16223616
ABCC8	ATP binding cassette subfamily C member 8	PA24395	6833	HGNC:59	ENSG00000006071	chr11	17414432	17498449	17392885	17476870
ABCC9	ATP binding cassette subfamily C member 9	PA396	10060	HGNC:60	ENSG00000069431	chr12	21950323	22094797	21797389	21941869
ABCD1	ATP binding cassette subfamily D member 1	PA24396	215	HGNC:61	ENSG00000101986	chrX	152990323	153010216	153724851	153744762
ABCD1P1	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1	PA24397	23785	HGNC:62		chr2				
ABCD1P2	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2	PA24398	26983	HGNC:63		chr10	38894541	38898740	38601416	38605609
ABCD1P3	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3	PA24399	26982	HGNC:64		chr16	32486344	32487136	32474823	32475807
ABCD1P4	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4	PA24400	26957	HGNC:65		chr22	16868415	16872610	16387689	16391884
ABCD2	ATP binding cassette subfamily D member 2	PA24401	225	HGNC:66	ENSG00000173208	chr12	39945022	40013843	39530966	39651333
ABCD3	ATP binding cassette subfamily D member 3	PA24402	5825	HGNC:67	ENSG00000117528	chr1	94883933	94984219	94385106	94518663
ABCD4	ATP binding cassette subfamily D member 4	PA24403	5826	HGNC:68	ENSG00000119688	chr14	74751980	74769767	74285277	74303064
ABCE1	ATP binding cassette subfamily E member 1	PA24404	6059	HGNC:69	ENSG00000164163	chr4	146019156	146050676	145098004	145129524
ABCF1	ATP binding cassette subfamily F member 1	PA24405	23	HGNC:70	"ENSG00000204574,""ENSG00000206490"",""ENSG00000225989"",""ENSG00000231129"",""ENSG00000232169"",""ENSG00000236149"",""ENSG00000236342"""	chr6	30539170	30559309	30571393	30591532
ABCF2	ATP binding cassette subfamily F member 2	PA24406	10061	HGNC:71	ENSG00000033050	chr7	150904923	150924460	151207837	151227374
ABCF3	ATP binding cassette subfamily F member 3	PA24407	55324	HGNC:72	ENSG00000161204	chr3	183903863	183911795	184186075	184194012
ABCG1	ATP binding cassette subfamily G member 1	PA24408	9619	HGNC:73	ENSG00000160179	chr21	43619799	43724497	42199689	42304389
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	PA390	9429	HGNC:74	ENSG00000118777	chr4	89011416	89152569	88090264	88231417
ABCG4	ATP binding cassette subfamily G member 4	PA24410	64137	HGNC:13884	ENSG00000172350	chr11	119019750	119033375	119149040	119162666
ABCG5	ATP binding cassette subfamily G member 5	PA24411	64240	HGNC:13886	ENSG00000138075	chr2	44039611	44066039	43806154	43838840
ABCG8	ATP binding cassette subfamily G member 8	PA24412	64241	HGNC:13887	ENSG00000143921	chr2	44066103	44105947	43831942	43880051
ABHD1	abhydrolase domain containing 1	PA38459	84696	HGNC:17553	ENSG00000143994	chr2	27346632	27353680	27123780	27130812
ABHD10	abhydrolase domain containing 10	PA134978569	55347	HGNC:25656	ENSG00000144827	chr3	111697723	111712215	111978876	111993368
ABHD11	abhydrolase domain containing 11	PA38134	83451	HGNC:16407	ENSG00000106077	chr7	73150424	73153190	73736094	73738867
ABHD12	abhydrolase domain containing 12	PA25738	26090	HGNC:15868	ENSG00000100997	chr20	25275379	25371618	25294743	25390982
ABHD12B	abhydrolase domain containing 12B	PA162375213	145447	HGNC:19837	ENSG00000131969	chr14	51338878	51371688	50872090	50904970
ABHD13	abhydrolase domain containing 13	PA134862303	84945	HGNC:20293	ENSG00000139826	chr13	108870763	108886603	108218415	108235440
ABHD14A	abhydrolase domain containing 14A	PA142672659	25864	HGNC:24538	"ENSG00000114786,""ENSG00000248487"""	chr3	52007700	52015216	51975026	51981200
ABHD14B	abhydrolase domain containing 14B	PA142672660	84836	HGNC:28235	ENSG00000114779	chr3	52002526	52008646	51968510	51974630
ABHD15	abhydrolase domain containing 15	PA164714659	116236	HGNC:26971	ENSG00000168792	chr17	27887679	27894042	29560661	29567024
ABHD16A	abhydrolase domain containing 16A	PA25266	7920	HGNC:13921	"ENSG00000204427,""ENSG00000206403"",""ENSG00000224552"",""ENSG00000230475"",""ENSG00000231488"",""ENSG00000235676"",""ENSG00000236063"""	chr6	31654726	31671137	31686949	31703360
ABHD16B	abhydrolase domain containing 16B	PA25677	140701	HGNC:16128	ENSG00000183260	chr20	62492566	62494341	63861213	63862988
ABHD17A	abhydrolase domain containing 17A	PA134947443	81926	HGNC:28756	ENSG00000129968	chr19	1876975	1885518	1876965	1885519
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	PA143485465	728917	HGNC:28394	ENSG00000198658	chr1	147618345	147622067	148146066	148149788
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	PA162385609	648359	HGNC:34041	ENSG00000250536	chr1	214778800	214782546	214605457	214609203
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	PA162385617	729495	HGNC:34042	ENSG00000229107	chr22	21021885	21025627	20667597	20671339
ABHD17B	abhydrolase domain containing 17B	PA162385624	51104	HGNC:24278	ENSG00000107362	chr9	74477368	74526148	71859461	71911245
ABHD17C	abhydrolase domain containing 17C	PA162385639	58489	HGNC:26925	ENSG00000136379	chr15	80987635	81047962	80695311	80755621
ABHD18	abhydrolase domain containing 18	PA147358673	80167	HGNC:26111	ENSG00000164074	chr4	128886411	128957478	127965256	128039711
ABHD2	abhydrolase domain containing 2	PA38658	11057	HGNC:18717	ENSG00000140526	chr15	89631381	89745591	89088150	89202360
ABHD3	abhydrolase domain containing 3	PA38659	171586	HGNC:18718	ENSG00000158201	chr18	19230858	19284766	21650897	21704805
ABHD4	abhydrolase domain containing 4	PA128394705	63874	HGNC:20154	ENSG00000100439	chr14	23067147	23081265	22598238	22612864
ABHD5	abhydrolase domain containing 5	PA134891622	51099	HGNC:21396	ENSG00000011198	chr3	43732375	43764217	43690883	43722725
ABHD6	abhydrolase domain containing 6	PA134916787	57406	HGNC:21398	ENSG00000163686	chr3	58223233	58280463	58237502	58294736
ABHD8	abhydrolase domain containing 8	PA134994313	79575	HGNC:23759	ENSG00000127220	chr19	17402940	17414282	17292131	17303473
ABI1	abl interactor 1	PA36144	10006	HGNC:11320	ENSG00000136754	chr10	27035525	27150016	26746596	26861087
ABI1P1	abl-interactor 1 pseudogene 1	PA134977768	326268	HGNC:20035		chr14	56013277	56017081	55546559	55550363
ABI2	abl interactor 2	PA134977642	10152	HGNC:24011	ENSG00000138443	chr2	204192597	204296892	203327874	203432173
ABI3	ABI family member 3	PA134951642	51225	HGNC:29859	ENSG00000108798	chr17	47287589	47300587	49210227	49223225
ABI3BP	ABI family member 3 binding protein	PA134977769	25890	HGNC:17265	ENSG00000154175	chr3	100468179	100712336	100749335	100993508
ABITRAM	actin binding transcription modulator	PA25981	54942	HGNC:1364	ENSG00000119328	chr9	111696673	111703238	108934393	108950745
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	PA24413	25	HGNC:76	ENSG00000097007	chr9	133588266	133763062	130713881	130887675
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	PA24414	27	HGNC:77	ENSG00000143322	chr1	179068462	179198819	179099327	179229693
ABLIM1	actin binding LIM protein 1	PA35023	3983	HGNC:78	ENSG00000099204	chr10	116190869	116444762	114431110	114821643
ABLIM2	actin binding LIM protein family member 2	PA134940437	84448	HGNC:19195	ENSG00000163995	chr4	7967037	8160559	7965310	8158832
ABLIM3	actin binding LIM protein family member 3	PA134962761	22885	HGNC:29132	ENSG00000173210	chr5	148521054	148640002	149141483	149260439
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	PA24415	28	HGNC:79		chr9	136130563	136150630	133255176	133275214
ABR	ABR activator of RhoGEF and GTPase	PA24417	29	HGNC:81	ENSG00000159842	chr17	906758	1090616	1003518	1229713
ABRA	actin binding Rho activating protein	PA143485290	137735	HGNC:30655	ENSG00000174429	chr8	107771711	107782472	106759483	106770244
ABRACL	ABRA C-terminal like	PA134884626	58527	HGNC:21230	ENSG00000146386	chr6	139349819	139364439	139028682	139043302
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	PA162387308	84142	HGNC:25829	ENSG00000163322	chr4	84382092	84406290	83459515	83485181
ABRAXAS2	abraxas 2, BRISC complex subunit	PA162387331	23172	HGNC:28975	ENSG00000165660	chr10	126490354	126525239	124801785	124836670
ABT1	activator of basal transcription 1	PA38451	29777	HGNC:17369	ENSG00000146109	chr6	26597171	26600278	26596943	26600050
ABTB1	ankyrin repeat and BTB domain containing 1	PA24418	80325	HGNC:18275	ENSG00000114626	chr3	127391781	127399769	127672928	127680926
ABTB2	ankyrin repeat and BTB domain containing 2	PA134937734	25841	HGNC:23842	ENSG00000166016	chr11	34172534	34379555	34150987	34358008
ACAA1	acetyl-CoA acyltransferase 1	PA24419	30	HGNC:82	ENSG00000060971	chr3	38164201	38178733	38122710	38137242
ACAA2	acetyl-CoA acyltransferase 2	PA24420	10449	HGNC:83	ENSG00000167315	chr18	47309874	47340306	49783504	49813881
ACACA	acetyl-CoA carboxylase alpha	PA24421	31	HGNC:84	ENSG00000132142	chr17	35441927	35766902	37084992	37406822
ACACB	acetyl-CoA carboxylase beta	PA24422	32	HGNC:85	ENSG00000076555	chr12	109554222	109706031	109112666	109268226
ACAD10	acyl-CoA dehydrogenase family member 10	PA134976754	80724	HGNC:21597	ENSG00000111271	chr12	112123857	112194911	111686053	111757107
ACAD11	acyl-CoA dehydrogenase family member 11	PA142672658	84129	HGNC:30211	ENSG00000240303	chr3	132276982	132378975	132558138	132660131
ACAD8	acyl-CoA dehydrogenase family member 8	PA24423	27034	HGNC:87	ENSG00000151498	chr11	134123428	134135749	134253532	134265858
ACAD9	acyl-CoA dehydrogenase family member 9	PA134900655	28976	HGNC:21497	ENSG00000177646	chr3	128598333	128631957	128879490	128916075
ACADL	acyl-CoA dehydrogenase long chain	PA24424	33	HGNC:88	ENSG00000115361	chr2	211052632	211090215	210187990	210225491
ACADM	acyl-CoA dehydrogenase medium chain	PA24425	34	HGNC:89	ENSG00000117054	chr1	76190043	76229355	75724347	75763679
ACADS	acyl-CoA dehydrogenase short chain	PA24426	35	HGNC:90	ENSG00000122971	chr12	121163544	121177811	120725738	120740008
ACADSB	acyl-CoA dehydrogenase short/branched chain	PA24427	36	HGNC:91	ENSG00000196177	chr10	124768429	124817806	123008913	123058290
ACADVL	acyl-CoA dehydrogenase very long chain	PA24428	37	HGNC:92	ENSG00000072778	chr17	7120444	7128586	7217125	7225267
ACAN	aggrecan	PA24616	176	HGNC:319	ENSG00000157766	chr15	89346674	89418585	88803442	88875354
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	PA26406	9744	HGNC:16467	ENSG00000072818	chr17	7239848	7254797	7336506	7354944
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	PA26407	23527	HGNC:16469	ENSG00000114331	chr3	194995465	195163817	195274736	195443176
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	PA26408	116983	HGNC:16754	ENSG00000131584	chr1	1227764	1243304	1292384	1307925
ACAT1	acetyl-CoA acetyltransferase 1	PA24431	38	HGNC:93	ENSG00000075239	chr11	107992258	108018895	108121531	108148168
ACAT2	acetyl-CoA acetyltransferase 2	PA19	39	HGNC:94	ENSG00000120437	chr6	160182989	160200087	159761957	159779112
ACBD3	acyl-CoA binding domain containing 3	PA28803	64746	HGNC:15453	ENSG00000182827	chr1	226332380	226374423	226144679	226186722
ACBD4	acyl-CoA binding domain containing 4	PA134897893	79777	HGNC:23337	ENSG00000181513	chr17	43209967	43221548	45132600	45144181
ACBD5	acyl-CoA binding domain containing 5	PA134892991	91452	HGNC:23338	ENSG00000107897	chr10	27484143	27531068	27182624	27248674
ACBD6	acyl-CoA binding domain containing 6	PA134925459	84320	HGNC:23339	ENSG00000135847	chr1	180257352	180472022	180269663	180502967
ACBD7	acyl-CoA binding domain containing 7	PA134884059	414149	HGNC:17715	ENSG00000176244	chr10	15057071	15130783	15075475	15088776
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	PA162375284	84680	HGNC:23989	ENSG00000110455	chr11	44087729	44105791	44066118	44084237
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	PA164714805	390110	HGNC:34391	ENSG00000205126	chr11	44069531	44081527	43920987	44060667
ACD	ACD shelterin complex subunit and telomerase recruitment factor	PA134882431	65057	HGNC:25070	ENSG00000102977	chr16	67691415	67694718	67657512	67660815
ACE	angiotensin I converting enzyme	PA139	1636	HGNC:2707	ENSG00000159640	chr17	61554422	61575741	63477061	63498380
ACE2	angiotensin I converting enzyme 2	PA425	59272	HGNC:13557	ENSG00000130234	chrX	15579156	15620192	15494525	15602069
ACER1	alkaline ceramidase 1	PA164714838	125981	HGNC:18356	ENSG00000167769	chr19	6306510	6333640	6306142	6360359
ACER2	alkaline ceramidase 2	PA164714853	340485	HGNC:23675	ENSG00000177076	chr9	19408925	19452618	19408927	19455173
ACER3	alkaline ceramidase 3	PA33256	55331	HGNC:16066	ENSG00000078124	chr11	76571917	76734850	76860873	77026797
ACHE	acetylcholinesterase (Cartwright blood group)	PA20	43	HGNC:108	ENSG00000087085	chr7	100487615	100493754	100889994	100896133
ACIN1	apoptotic chromatin condensation inducer 1	PA134912489	22985	HGNC:17066	ENSG00000100813	chr14	23527773	23564823	23058564	23095614
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	PA28451	2532	HGNC:4035	ENSG00000213088	chr1	159173803	159176290	159204013	159206500
ACKR2	atypical chemokine receptor 2	PA26139	1238	HGNC:1565	ENSG00000144648	chr3	42850964	42908775	42809472	42867283
ACKR3	atypical chemokine receptor 3	PA162383053	57007	HGNC:23692	ENSG00000144476	chr2	237469424	237491001	236537131	236582358
ACKR4	atypical chemokine receptor 4	PA35036	51554	HGNC:1611	ENSG00000129048	chr3	132316081	132321488	132597237	132602644
ACLY	ATP citrate lyase	PA24441	47	HGNC:115	ENSG00000131473	chr17	40023169	40086795	41866916	41930542
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	PA134973312	130013	HGNC:19288	ENSG00000153086	chr2	135595994	135659604	134838319	134902906
ACO1	aconitase 1	PA24442	48	HGNC:117	ENSG00000122729	chr9	32384601	32450834	32384603	32450836
ACO2	aconitase 2	PA24443	50	HGNC:118	ENSG00000100412	chr22	41865099	41924993	41469125	41528989
ACOD1	aconitate decarboxylase 1	PA162392282	730249	HGNC:33904	ENSG00000102794	chr13	77522694	77532777	76948559	76958642
ACOT1	acyl-CoA thioesterase 1	PA162375318	641371	HGNC:33128	ENSG00000184227	chr14	74003862	74010503	73493021	73543799
ACOT11	acyl-CoA thioesterase 11	PA38303	26027	HGNC:18156	ENSG00000162390	chr1	55007930	55100417	54548134	54634744
ACOT12	acyl-CoA thioesterase 12	PA142672657	134526	HGNC:24436	ENSG00000172497	chr5	80625731	80689988	81309045	81394174
ACOT13	acyl-CoA thioesterase 13	PA165617655	55856	HGNC:20999	ENSG00000112304	chr6	24667263	24705297	24667035	24705069
ACOT2	acyl-CoA thioesterase 2	PA142672653	10965	HGNC:18431	ENSG00000119673	chr14	74034324	74042362	73567620	73575658
ACOT4	acyl-CoA thioesterase 4	PA142672654	122970	HGNC:19748	ENSG00000177465	chr14	74058410	74062470	73591528	73595766
ACOT6	acyl-CoA thioesterase 6	PA162375329	641372	HGNC:33159	ENSG00000205669	chr14	74083548	74086592	73612276	73619929
ACOT7	acyl-CoA thioesterase 7	PA142672655	11332	HGNC:24157	ENSG00000097021	chr1	6324332	6453826	6264272	6393766
ACOT8	acyl-CoA thioesterase 8	PA33941	10005	HGNC:15919	ENSG00000101473	chr20	44470360	44486048	45841721	45857409
ACOT9	acyl-CoA thioesterase 9	PA142672656	23597	HGNC:17152	ENSG00000123130	chrX	23721777	23784592	23701055	23743290
ACOX1	acyl-CoA oxidase 1	PA21	51	HGNC:119	ENSG00000161533	chr17	73937588	73975515	75941507	75979434
ACOX2	acyl-CoA oxidase 2	PA24444	8309	HGNC:120	ENSG00000168306	chr3	58490863	58522929	58505136	58537202
ACOX3	acyl-CoA oxidase 3, pristanoyl	PA24445	8310	HGNC:121	ENSG00000087008	chr4	8368009	8442452	8366263	8440725
ACOXL	acyl-CoA oxidase like	PA134932567	55289	HGNC:25621	ENSG00000153093	chr2	111490150	111875799	110732539	111118571
ACP1	acid phosphatase 1	PA24446	52	HGNC:122	ENSG00000143727	chr2	264869	278283	264869	278283
ACP2	acid phosphatase 2, lysosomal	PA24447	53	HGNC:123	ENSG00000134575	chr11	47260853	47270457	47239302	47248847
ACP4	acid phosphatase 4	PA24450	93650	HGNC:14376	ENSG00000142513	chr19	51293672	51298481	50790415	50795224
ACP5	acid phosphatase 5, tartrate resistant	PA24448	54	HGNC:124	ENSG00000102575	chr19	11685475	11689801	11574660	11579008
ACP6	acid phosphatase 6, lysophosphatidic	PA134930830	51205	HGNC:29609	ENSG00000162836	chr1	147119168	147142634	147629658	147670543
ACP7	acid phosphatase 7, tartrate resistant (putative)	PA166180560	390928	HGNC:33781			0	0	0	0
ACR	acrosin	PA24451	49	HGNC:126	ENSG00000100312	chr22	51176652	51183727	50738224	50745299
ACRBP	acrosin binding protein	PA24452	84519	HGNC:17195	ENSG00000111644	chr12	6747241	6756594	6638076	6647414
ACRV1	acrosomal vesicle protein 1	PA24454	56	HGNC:127	ENSG00000134940	chr11	125542229	125550809	125672334	125680898
ACSBG1	acyl-CoA synthetase bubblegum family member 1	PA142672648	23205	HGNC:29567	ENSG00000103740	chr15	78463187	78527049	78167468	78234707
ACSBG2	acyl-CoA synthetase bubblegum family member 2	PA142672649	81616	HGNC:24174	ENSG00000130377	chr19	6135654	6193113	6135633	6193103
ACSF2	acyl-CoA synthetase family member 2	PA162375338	80221	HGNC:26101	ENSG00000167107	chr17	48503519	48552200	50426158	50474845
ACSF3	acyl-CoA synthetase family member 3	PA162375375	197322	HGNC:27288	ENSG00000176715	chr16	89160217	89222171	89093809	89160556
ACSL1	acyl-CoA synthetase long chain family member 1	PA27966	2180	HGNC:3569	ENSG00000151726	chr4	185676749	185747215	184755595	184826593
ACSL3	acyl-CoA synthetase long chain family member 3	PA27967	2181	HGNC:3570	ENSG00000123983	chr2	223725732	223808119	222860984	222944624
ACSL4	acyl-CoA synthetase long chain family member 4	PA27968	2182	HGNC:3571	ENSG00000068366	chrX	108884564	108976621	109641330	109733403
