Gene	Allele1	Allele2	ActivityScore	Phenotype	EHR	ConsultationID
CYP2B6	*3	*3		Indeterminate	none	6
CYP2B6	*3	*4		Indeterminate	none	6
CYP2B6	*3	*5		Indeterminate	none	6
CYP2B6	*3	*6		Indeterminate	none	6
CYP2B6	*3	*7		Indeterminate	none	6
CYP2B6	*3	*8		Indeterminate	none	6
CYP2B6	*3	*9		Indeterminate	none	6
CYP2B6	*3	*10		Indeterminate	none	6
CYP2B6	*3	*11		Indeterminate	none	6
CYP2B6	*3	*12		Indeterminate	none	6
CYP2B6	*3	*13		Indeterminate	none	6
CYP2B6	*3	*14		Indeterminate	none	6
CYP2B6	*3	*15		Indeterminate	none	6
CYP2B6	*3	*17		Indeterminate	none	6
CYP2B6	*3	*18		Indeterminate	none	6
CYP2B6	*3	*19		Indeterminate	none	6
CYP2B6	*3	*20		Indeterminate	none	6
CYP2B6	*3	*21		Indeterminate	none	6
CYP2B6	*3	*22		Indeterminate	none	6
CYP2B6	*3	*23		Indeterminate	none	6
CYP2B6	*3	*24		Indeterminate	none	6
CYP2B6	*3	*25		Indeterminate	none	6
CYP2B6	*3	*26		Indeterminate	none	6
CYP2B6	*3	*27		Indeterminate	none	6
CYP2B6	*3	*28		Indeterminate	none	6
CYP2B6	*3	*29		Indeterminate	none	6
CYP2B6	*3	*30		Indeterminate	none	6
CYP2B6	*3	*31		Indeterminate	none	6
CYP2B6	*3	*32		Indeterminate	none	6
CYP2B6	*3	*33		Indeterminate	none	6
CYP2B6	*3	*34		Indeterminate	none	6
CYP2B6	*3	*35		Indeterminate	none	6
CYP2B6	*3	*36		Indeterminate	none	6
CYP2B6	*3	*37		Indeterminate	none	6
CYP2B6	*3	*38		Indeterminate	none	6
CYP2B6	*4	*4		Ultrarapid Metabolizer	Normal/Routine/Low Risk	11
CYP2B6	*4	*5		Rapid Metabolizer	Normal/Routine/Low Risk	10
CYP2B6	*4	*6		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*7		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*8		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*9		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*10		Indeterminate	none	6
CYP2B6	*4	*11		Indeterminate	none	6
CYP2B6	*4	*12		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*13		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*14		Indeterminate	none	6
CYP2B6	*4	*15		Indeterminate	none	6
CYP2B6	*4	*17		Rapid Metabolizer	Normal/Routine/Low Risk	10
CYP2B6	*4	*18		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*19		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*20		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*21		Indeterminate	none	6
CYP2B6	*4	*22		Ultrarapid Metabolizer	Normal/Routine/Low Risk	11
CYP2B6	*4	*23		Indeterminate	none	6
CYP2B6	*4	*24		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*25		Indeterminate	none	6
CYP2B6	*4	*26		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*27		Indeterminate	none	6
CYP2B6	*4	*28		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*29		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*30		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*31		Rapid Metabolizer	Normal/Routine/Low Risk	10
CYP2B6	*4	*32		Rapid Metabolizer	Normal/Routine/Low Risk	10
CYP2B6	*4	*33		Indeterminate	none	6
CYP2B6	*4	*34		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*35		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*36		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*37		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*4	*38		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*5		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*5	*6		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*7		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*8		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*9		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*10		Indeterminate	none	6
CYP2B6	*5	*11		Indeterminate	none	6
CYP2B6	*5	*12		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*13		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*14		Indeterminate	none	6
CYP2B6	*5	*15		Indeterminate	none	6
CYP2B6	*5	*17		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*5	*18		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*19		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*20		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*21		Indeterminate	none	6
CYP2B6	*5	*22		Rapid Metabolizer	Normal/Routine/Low Risk	10
CYP2B6	*5	*23		Indeterminate	none	6
CYP2B6	*5	*24		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*25		Indeterminate	none	6
CYP2B6	*5	*26		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*27		Indeterminate	none	6
CYP2B6	*5	*28		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*29		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*30		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*31		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*5	*32		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*5	*33		Indeterminate	none	6
CYP2B6	*5	*34		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*35		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*36		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*37		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*5	*38		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*6	*6		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*7		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*8		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*9		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*10		Indeterminate	none	6
CYP2B6	*6	*11		Indeterminate	none	6
CYP2B6	*6	*12		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*13		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*14		Indeterminate	none	6
CYP2B6	*6	*15		Indeterminate	none	6
CYP2B6	*6	*17		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*6	*18		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*19		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*20		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*21		Indeterminate	none	6
CYP2B6	*6	*22		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*6	*23		Indeterminate	none	6
CYP2B6	*6	*24		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*25		Indeterminate	none	6
CYP2B6	*6	*26		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*27		Indeterminate	none	6
CYP2B6	*6	*28		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*29		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*30		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*31		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*6	*32		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*6	*33		Indeterminate	none	6
CYP2B6	*6	*34		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*35		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*36		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*37		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*6	*38		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*7		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*8		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*9		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*10		Indeterminate	none	6
CYP2B6	*7	*11		Indeterminate	none	6
CYP2B6	*7	*12		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*13		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*14		Indeterminate	none	6
CYP2B6	*7	*15		Indeterminate	none	6
CYP2B6	*7	*17		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*7	*18		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*19		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*20		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*21		Indeterminate	none	6
CYP2B6	*7	*22		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*7	*23		Indeterminate	none	6
CYP2B6	*7	*24		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*25		Indeterminate	none	6
CYP2B6	*7	*26		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*27		Indeterminate	none	6
CYP2B6	*7	*28		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*29		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*30		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*31		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*7	*32		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*7	*33		Indeterminate	none	6
CYP2B6	*7	*34		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*35		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*36		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*37		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*7	*38		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*8		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*9		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*10		Indeterminate	none	6
CYP2B6	*8	*11		Indeterminate	none	6
CYP2B6	*8	*12		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*13		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*14		Indeterminate	none	6
CYP2B6	*8	*15		Indeterminate	none	6
CYP2B6	*8	*17		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*8	*18		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*19		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*20		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*21		Indeterminate	none	6
CYP2B6	*8	*22		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*8	*23		Indeterminate	none	6
CYP2B6	*8	*24		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*25		Indeterminate	none	6
CYP2B6	*8	*26		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*27		Indeterminate	none	6
CYP2B6	*8	*28		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*29		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*30		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*31		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*8	*32		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*8	*33		Indeterminate	none	6
CYP2B6	*8	*34		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*35		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*36		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*37		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*8	*38		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*9		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*10		Indeterminate	none	6
CYP2B6	*9	*11		Indeterminate	none	6
CYP2B6	*9	*12		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*13		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*14		Indeterminate	none	6
CYP2B6	*9	*15		Indeterminate	none	6
CYP2B6	*9	*17		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*9	*18		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*19		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*20		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*21		Indeterminate	none	6
CYP2B6	*9	*22		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*9	*23		Indeterminate	none	6
CYP2B6	*9	*24		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*25		Indeterminate	none	6
CYP2B6	*9	*26		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*27		Indeterminate	none	6
CYP2B6	*9	*28		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*29		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*30		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*31		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*9	*32		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*9	*33		Indeterminate	none	6
CYP2B6	*9	*34		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*35		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*36		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*37		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*9	*38		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*10	*10		Indeterminate	none	6
CYP2B6	*10	*11		Indeterminate	none	6
CYP2B6	*10	*12		Indeterminate	none	6
CYP2B6	*10	*13		Indeterminate	none	6
CYP2B6	*10	*14		Indeterminate	none	6
CYP2B6	*10	*15		Indeterminate	none	6
CYP2B6	*10	*17		Indeterminate	none	6
CYP2B6	*10	*18		Indeterminate	none	6
CYP2B6	*10	*19		Indeterminate	none	6
CYP2B6	*10	*20		Indeterminate	none	6
CYP2B6	*10	*21		Indeterminate	none	6
CYP2B6	*10	*22		Indeterminate	none	6
CYP2B6	*10	*23		Indeterminate	none	6
CYP2B6	*10	*24		Indeterminate	none	6
CYP2B6	*10	*25		Indeterminate	none	6
CYP2B6	*10	*26		Indeterminate	none	6
CYP2B6	*10	*27		Indeterminate	none	6
CYP2B6	*10	*28		Indeterminate	none	6
CYP2B6	*10	*29		Indeterminate	none	6
CYP2B6	*10	*30		Indeterminate	none	6
CYP2B6	*10	*31		Indeterminate	none	6
CYP2B6	*10	*32		Indeterminate	none	6
CYP2B6	*10	*33		Indeterminate	none	6
CYP2B6	*10	*34		Indeterminate	none	6
CYP2B6	*10	*35		Indeterminate	none	6
CYP2B6	*10	*36		Indeterminate	none	6
CYP2B6	*10	*37		Indeterminate	none	6
CYP2B6	*10	*38		Indeterminate	none	6
CYP2B6	*11	*11		Indeterminate	none	6
CYP2B6	*11	*12		Indeterminate	none	6
CYP2B6	*11	*13		Indeterminate	none	6
CYP2B6	*11	*14		Indeterminate	none	6
CYP2B6	*11	*15		Indeterminate	none	6
CYP2B6	*11	*17		Indeterminate	none	6
CYP2B6	*11	*18		Indeterminate	none	6
CYP2B6	*11	*19		Indeterminate	none	6
CYP2B6	*11	*20		Indeterminate	none	6
CYP2B6	*11	*21		Indeterminate	none	6
CYP2B6	*11	*22		Indeterminate	none	6
CYP2B6	*11	*23		Indeterminate	none	6
CYP2B6	*11	*24		Indeterminate	none	6
CYP2B6	*11	*25		Indeterminate	none	6
CYP2B6	*11	*26		Indeterminate	none	6
CYP2B6	*11	*27		Indeterminate	none	6
CYP2B6	*11	*28		Indeterminate	none	6
CYP2B6	*11	*29		Indeterminate	none	6
CYP2B6	*11	*30		Indeterminate	none	6
CYP2B6	*11	*31		Indeterminate	none	6
CYP2B6	*11	*32		Indeterminate	none	6
CYP2B6	*11	*33		Indeterminate	none	6
CYP2B6	*11	*34		Indeterminate	none	6
CYP2B6	*11	*35		Indeterminate	none	6
CYP2B6	*11	*36		Indeterminate	none	6
CYP2B6	*11	*37		Indeterminate	none	6
CYP2B6	*11	*38		Indeterminate	none	6
CYP2B6	*12	*12		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*13		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*14		Indeterminate	none	6
CYP2B6	*12	*15		Indeterminate	none	6
CYP2B6	*12	*17		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*12	*18		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*19		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*20		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*21		Indeterminate	none	6
CYP2B6	*12	*22		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*12	*23		Indeterminate	none	6
CYP2B6	*12	*24		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*25		Indeterminate	none	6
CYP2B6	*12	*26		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*27		Indeterminate	none	6
CYP2B6	*12	*28		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*29		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*30		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*31		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*12	*32		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*12	*33		Indeterminate	none	6
CYP2B6	*12	*34		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*35		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*36		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*37		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*12	*38		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*13		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*14		Indeterminate	none	6
CYP2B6	*13	*15		Indeterminate	none	6
CYP2B6	*13	*17		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*13	*18		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*19		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*20		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*21		Indeterminate	none	6
CYP2B6	*13	*22		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*13	*23		Indeterminate	none	6
CYP2B6	*13	*24		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*25		Indeterminate	none	6
CYP2B6	*13	*26		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*27		Indeterminate	none	6
CYP2B6	*13	*28		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*29		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*30		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*31		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*13	*32		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*13	*33		Indeterminate	none	6
CYP2B6	*13	*34		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*35		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*36		Poor Metabolizer	Abnormal/Priority/High Risk	9
CYP2B6	*13	*37		Poor Metabolizer	Abnormal/Priority/High Risk	9
