Source	PAID	Summary	Gene	Drug	GeneID	DrugID	Phenotype	Recommendation	Alternate	Dosing
CPIC	PA166122686	The CPIC Dosing Guideline for 5-fluorouracil and capecitabine recommends an alternative drug for patients who are DPYD poor metabolizers with an activity score of 0. In those who are poor metabolizers with an activity score of 0.5, an alternative drug is also recommended, but if this is not considered a suitable therapeutic option, 5-fluorouracil or capecitabine should be administered at a strongly reduced dose with early therapeutic drug monitoring. Patients who are intermediate metabolizers with an activity score of 1 or 1.5 should receive a dose reduction of 50%. Patients with the c.[2846A>T];[2846A>T] genotype may require a >50% dose reduction.	DPYD	fluorouracil	5039	1390	DPYD Poor Metabolizer	Activity score 0.5: Avoid use of 5- fluorouracil or 5-fluorouracil prodrug-based regimens. In the event, based on clinical advice, alternative agents are not considered a suitable therapeutic option, 5-fluorouracil should be administered at a strongly reduced dose with early therapeutic drug monitoring.}{Activity score 0: Avoid use of 5-fluorouracil or 5-fluorouracil prodrug-based regimens.	0	0
SEFF	PA166254881	Testing for certain DPYD variants in patients who are candidates for fluoropyrimidine treatment is recommended. The guideline contraindicates fluoropyrimidines in DPYD poor metabolizers, while DYPD intermediate metabolizers should have a 50% reduction in starting dose.	DPYD	capecitabine	5039	655	Normal metabolizer}{(Activity score 2)	According to the data sheet	0	0
SEFF	PA166254881	Testing for certain DPYD variants in patients who are candidates for fluoropyrimidine treatment is recommended. The guideline contraindicates fluoropyrimidines in DPYD poor metabolizers, while DYPD intermediate metabolizers should have a 50% reduction in starting dose.	DPYD	capecitabine	5039	655	Intermediate metabolizer}{(activity score 1–1.5)	Reduce starting dose by 50% followed by titration of dose based on toxicity or pharmacokinetics	0	0
SEFF	PA166254881	Testing for certain DPYD variants in patients who are candidates for fluoropyrimidine treatment is recommended. The guideline contraindicates fluoropyrimidines in DPYD poor metabolizers, while DYPD intermediate metabolizers should have a 50% reduction in starting dose.	DPYD	capecitabine	5039	655	Poor metabolizer}{(Activity score 0–0.5)	Contraindicated treatment with fluoropyrimidines; look for alternative agents*	0	0
SEFF	PA166254881	Testing for certain DPYD variants in patients who are candidates for fluoropyrimidine treatment is recommended. The guideline contraindicates fluoropyrimidines in DPYD poor metabolizers, while DYPD intermediate metabolizers should have a 50% reduction in starting dose.	DPYD	fluorouracil	5039	1390	Normal metabolizer}{(Activity score 2)	According to the data sheet	0	0
SEFF	PA166254881	Testing for certain DPYD variants in patients who are candidates for fluoropyrimidine treatment is recommended. The guideline contraindicates fluoropyrimidines in DPYD poor metabolizers, while DYPD intermediate metabolizers should have a 50% reduction in starting dose.	DPYD	fluorouracil	5039	1390	Intermediate metabolizer}{(activity score 1–1.5)	Reduce starting dose by 50% followed by titration of dose based on toxicity or pharmacokinetics	0	0
SEFF	PA166254881	Testing for certain DPYD variants in patients who are candidates for fluoropyrimidine treatment is recommended. The guideline contraindicates fluoropyrimidines in DPYD poor metabolizers, while DYPD intermediate metabolizers should have a 50% reduction in starting dose.	DPYD	fluorouracil	5039	1390	Poor metabolizer}{(Activity score 0–0.5)	Contraindicated treatment with fluoropyrimidines; look for alternative agents*	0	0
SEFF	PA166254881	Testing for certain DPYD variants in patients who are candidates for fluoropyrimidine treatment is recommended. The guideline contraindicates fluoropyrimidines in DPYD poor metabolizers, while DYPD intermediate metabolizers should have a 50% reduction in starting dose.	DPYD	tegafur	5039	3158	Normal metabolizer}{(Activity score 2)	According to the data sheet	0	0
SEFF	PA166254881	Testing for certain DPYD variants in patients who are candidates for fluoropyrimidine treatment is recommended. The guideline contraindicates fluoropyrimidines in DPYD poor metabolizers, while DYPD intermediate metabolizers should have a 50% reduction in starting dose.	DPYD	tegafur	5039	3158	Intermediate metabolizer}{(activity score 1–1.5)	Reduce starting dose by 50% followed by titration of dose based on toxicity or pharmacokinetics	0	0
SEFF	PA166254881	Testing for certain DPYD variants in patients who are candidates for fluoropyrimidine treatment is recommended. The guideline contraindicates fluoropyrimidines in DPYD poor metabolizers, while DYPD intermediate metabolizers should have a 50% reduction in starting dose.	DPYD	tegafur	5039	3158	Poor metabolizer}{(Activity score 0–0.5)	Contraindicated treatment with fluoropyrimidines; look for alternative agents*	0	0
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	ABCG2	rosuvastatin	83	2890	Normal function	Prescribe desired starting dose and adjust doses based on disease-specific guidelines.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	ABCG2	rosuvastatin	83	2890	Increased function	Prescribe desired starting dose and adjust doses based on disease-specific guidelines.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	ABCG2	rosuvastatin	83	2890	Decreased function	Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	ABCG2	rosuvastatin	83	2890	Possible decreased function	Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	ABCG2	rosuvastatin	83	2890	Poor function	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy).	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	ABCG2	rosuvastatin	83	2890	Indeterminate	No recommendation.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	ABCG2	rosuvastatin	83	2890	Normal function	Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	ABCG2	rosuvastatin	83	2890	Decreased function	Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific guidelines and specific population guidelines.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	ABCG2	rosuvastatin	83	2890	Poor function	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy).	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	SLCO1B1	rosuvastatin	19487	2890	Normal function	Prescribe desired starting dose and adjust doses based on disease-specific guidelines.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	SLCO1B1	rosuvastatin	19487	2890	Increased function	Prescribe desired starting dose and adjust doses based on disease-specific guidelines.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	SLCO1B1	rosuvastatin	19487	2890	Decreased function	Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	SLCO1B1	rosuvastatin	19487	2890	Possible decreased function	Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	SLCO1B1	rosuvastatin	19487	2890	Poor function	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy).	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	SLCO1B1	rosuvastatin	19487	2890	Indeterminate	No recommendation.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	SLCO1B1	rosuvastatin	19487	2890	Normal function	Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	SLCO1B1	rosuvastatin	19487	2890	Decreased function	Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific guidelines and specific population guidelines.	1	1
CPIC	PA166262321	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines for patients who are SLCO1B1 or ABCG2 poor function phenotype. If dose >20mg needed for desired efficacy, consider combination therapy (i.e. rosuvastatin plus non-statin guideline directed medical therapy). Patients with both ABCG2 poor function and SLCO1B1 poor/decreased function should be prescribed ≤10mg as a starting dose.	SLCO1B1	rosuvastatin	19487	2890	Poor function	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy).	1	1
DPWG	PA166104991	"Avoid abacavir for patients who have the HLA-B*57:01 allele (patients who are ""HLA-B*57:01-positive"")."	HLA-B	abacavir	8015	26	HLA-B*5701	Abacavir is contra-indicated for HLA-B*5701-positive patients.}{1. Avoid abacavir.	0	0
DPWG	PA166104991	"Avoid abacavir for patients who have the HLA-B*57:01 allele (patients who are ""HLA-B*57:01-positive"")."	HLA-B	abacavir	8015	26	HLA-B*5701	Abacavir is contra-indicated for HLA-B*5701-positive patients.}{1. Advise the prescriber to prescribe an alternative according to the current guidelines.	0	0
DPWG	PA166104991	"Avoid abacavir for patients who have the HLA-B*57:01 allele (patients who are ""HLA-B*57:01-positive"")."	HLA-B	abacavir	8015	26	HLA-B*57:01	Select alternative drug	0	0
CPIC	PA166114461	Ivacaftor treatment is recommended only in cystic fibrosis (CF) patients that are either homozygous or heterozygous for certain CFTR variants.  See full guideline for disclaimers, further details and supporting evidence.	CFTR	ivacaftor	3250	1759	Homozygous or Heterozygous G551D-CFTR, rs75527207 genotype AA or AG	Use ivacaftor according to the product label	0	0
CPIC	PA166114461	Ivacaftor treatment is recommended only in cystic fibrosis (CF) patients that are either homozygous or heterozygous for certain CFTR variants.  See full guideline for disclaimers, further details and supporting evidence.	CFTR	ivacaftor	3250	1759	Homozygous for F508del-CFTR, rs113993960 or rs199826652 genotype del/del	Ivacaftor is not recommended	0	0
CPIC	PA166114461	Ivacaftor treatment is recommended only in cystic fibrosis (CF) patients that are either homozygous or heterozygous for certain CFTR variants.  See full guideline for disclaimers, further details and supporting evidence.	CFTR	ivacaftor	3250	1759	Homozygous or heterozygous for one of the following CFTR variants: E56K, P67L, R74W, D110E, D110H, R117C, R117H, G178R, E193K, L206W, R347H, R352Q, A455E, S549N, S549R, G551D, G551S, D579G, S945L, S997F, F1052V, K1060T, A1067T, G1069R, R1070Q, R1070W, F1074L, D1152H, G1244E, S1251N, S1255P, D1270N, G1349D, 2789+5G->A, 3272-26A->G, 3849+10kbC->T, 711+1G->T and E831X	Use ivacaftor according to the product label	0	0
DPWG	PA166222801	The Dutch Pharmacogenetics Working Group Guideline for flucytosine states that patients with a DPYD activity score of 0 should avoid flucytosine. Patients with a DPYD activity score of 1 or 1.5 should be alert to the occurrence of severe side effects and flucytosine should be stopped if severe side effects occur.	DPYD	flucytosine	5039	1373	DPD AS 0	Avoid flucytosine	0	0
DPWG	PA166222801	The Dutch Pharmacogenetics Working Group Guideline for flucytosine states that patients with a DPYD activity score of 0 should avoid flucytosine. Patients with a DPYD activity score of 1 or 1.5 should be alert to the occurrence of severe side effects and flucytosine should be stopped if severe side effects occur.	DPYD	flucytosine	5039	1373	DPD AS 1	Be alert to the occurrence of severe side effects, such as leukopaenia, neutropaenia, thrombocytopaenia and diarrhoea. In the majority of cases, side effects of flucytosine occur in the first two to three weeks of the treatment. Flucytosine should be stopped if severe side effects occur.	0	0
DPWG	PA166222801	The Dutch Pharmacogenetics Working Group Guideline for flucytosine states that patients with a DPYD activity score of 0 should avoid flucytosine. Patients with a DPYD activity score of 1 or 1.5 should be alert to the occurrence of severe side effects and flucytosine should be stopped if severe side effects occur.	DPYD	flucytosine	5039	1373	DPD AS 1.5	Be alert to the occurrence of severe side effects, such as leukopaenia, neutropaenia, thrombocytopaenia and diarrhoea. In the majority of cases, side effects of flucytosine occur in the first two to three weeks of the treatment. Flucytosine should be stopped if severe side effects occur.	0	0
DPWG	PA166222801	The Dutch Pharmacogenetics Working Group Guideline for flucytosine states that patients with a DPYD activity score of 0 should avoid flucytosine. Patients with a DPYD activity score of 1 or 1.5 should be alert to the occurrence of severe side effects and flucytosine should be stopped if severe side effects occur.	DPYD	flucytosine	5039	1373	DPD FENO	Be alert to the occurrence of severe side effects, such as leukopaenia, neutropaenia, thrombocytopaenia and diarrhoea. In the majority of cases, side effects of flucytosine occur in the first two to three weeks of the treatment. Flucytosine should be stopped if severe side effects occur.	0	0
